"STATION","NAME","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-01",,,,,"0.37",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-02",,,,,"0.09",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-03",,,,,"0.36",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-05",,,,,"0.08",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-06",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-10",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-11",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-12",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-14",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-15",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-17",,,,,"0.25",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-18",,,,,"0.00","T,,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-19",,,,,"0.00",",,N","0.0",",,N",,,,,,
